transaction_type	rank0	rank1	rank2	rank3	rank4	rank5	rank6	rank7	rank8	rank9	rank10	rank11
s	i	i	i	i	i	i	i	i	i	i	i	i
nj_xp_gain	0	0	0	0	0	0	0	0	0	0	0	0
nj_xp_loss	1000	1250	1759	2250	3000	3750	4750	5500	6750	7750	8750	10000
bh_xp_gain	500	500	500	500	500	500	500	500	500	500	500	500
bh_xp_loss	1000	1250	1759	2250	3000	3750	4750	5500	6750	7750	8750	10000
pw_xp_gain	200	200	200	200	200	200	200	200	200	200	200	200
pw_xp_loss	500	650	1000	1250	1750	2250	2750	2350	4000	4500	5000	6000
r0_xp_gain	750	750	750	750	750	750	750	750	750	750	750	750
r0_xp_loss	250	500	750	1000	1500	2000	2500	3000	3750	4250	5000	5750
r1_xp_gain	900	900	900	900	900	900	900	900	900	900	900	900
r1_xp_loss	100	250	500	900	1300	1750	2250	2750	3500	4150	4750	5500
r2_xp_gain	1250	1250	1250	1250	1250	1250	1250	1250	1250	1250	1250	1250
r2_xp_loss	100	250	500	900	1300	1750	2250	2750	3500	4150	4750	5500
r3_xp_gain	2250	2250	2250	2250	2250	2250	2250	2250	2250	2250	2250	2250
r3_xp_loss	100	250	500	900	1300	1750	2250	2750	3500	4150	4750	5500
r4_xp_gain	3000	3000	3000	3000	3000	3000	3000	3000	3000	3000	3000	3000
r4_xp_loss	100	250	500	900	1300	1750	2250	2750	3500	4150	4750	5500
r5_xp_gain	3750	3750	3750	3750	3750	3750	3750	3750	3750	3750	3750	3750
r5_xp_loss	100	250	500	900	1300	1750	2250	2750	3500	4150	4750	5500
r6_xp_gain	4500	4500	4500	4500	4500	4500	4500	4500	4500	4500	4500	4500
r6_xp_loss	100	250	500	900	1300	1750	2250	2750	3500	4150	4750	5500
r7_xp_gain	5500	5500	5500	5500	5500	5500	5500	5500	5500	5500	5500	5500
r7_xp_loss	100	250	500	900	1300	1750	2250	2750	3500	4150	4750	5500
r8_xp_gain	6500	6500	6500	6500	6500	6500	6500	6500	6500	6500	6500	6500
r8_xp_loss	100	250	500	900	1300	1750	2250	2750	3500	4150	4750	5500
r9_xp_gain	7500	7500	7500	7500	7500	7500	7500	7500	7500	7500	7500	7500
r9_xp_loss	100	250	500	900	1300	1750	2250	2750	3500	4150	4750	5500
r10_xp_gain	8750	8750	8750	8750	8750	8750	8750	8750	8750	8750	8750	8750
r10_xp_loss	100	250	500	900	1300	1750	2250	2750	3500	4150	4750	5500
r11_xp_gain	9750	9750	9750	9750	9750	9750	9750	9750	9750	9750	9750	9750
r11_xp_loss	100	250	500	900	1300	1750	2250	2750	3500	4150	4750	5500
