id	planet	city	npc_type	x	z	yaw	event_type	route_family	branch	answer_1	answer_2	answer_3	delay_seconds
s	s	s	s	f	f	f	s	s	s	i	i	i	i
coronet_relief_manifest	corellia	coronet	commoner	-140	-4720	90	ECHO	SERVICE	force_sensitive_combat_prowess_ranged_accuracy	1	0	2	300
moenia_quiet_ward	naboo	moenia	medic	4800	-4700	180	ECHO	SERVICE	force_sensitive_heightened_senses_healing	1	0	2	300
bestine_dry_well	tatooine	bestine	artisan	-1290	-3580	45	ECHO	SERVICE	force_sensitive_crafting_mastery_repair	1	0	2	300
narmle_marsh_rescue	rori	narmle	medic	-5200	-2300	270	ECHO	SERVICE	force_sensitive_enhanced_reflexes_survival	1	0	2	300
dantooine_forgotten_beacon	dantooine	mining_outpost	scientist	-640	-3600	0	ECHO	DISCOVERY	force_sensitive_heightened_senses_surveying	2	1	0	300
endor_moonlit_tracks	endor	smuggler_outpost	smuggler	-950	1550	120	ECHO	DISCOVERY	force_sensitive_enhanced_reflexes_survival	2	1	0	300
yavin_echoing_stones	yavin4	mining_outpost	artisan	-300	4900	210	ECHO	DISCOVERY	force_sensitive_heightened_senses_luck	2	1	0	300
lok_saltwind_compass	lok	nyms_stronghold	scientist	475	5050	330	ECHO	DISCOVERY	force_sensitive_enhanced_reflexes_vehicle_control	2	1	0	300
dearic_broken_harvester	talus	dearic	artisan	335	-2950	80	ECHO	CRAFT	force_sensitive_crafting_mastery_repair	0	2	1	300
tyrena_signal_lens	corellia	tyrena	artisan	-5000	-2450	160	ECHO	CRAFT	force_sensitive_crafting_mastery_assembly	0	2	1	300
kaadara_water_clock	naboo	kaadara	artisan	5200	6700	240	ECHO	CRAFT	force_sensitive_crafting_mastery_experimentation	0	2	1	300
wayfar_power_cell	tatooine	wayfar	artisan	-5150	-6600	320	ECHO	CRAFT	force_sensitive_crafting_mastery_technique	0	2	1	300
yavin_fragmented_archive	yavin4	mining_outpost	scientist	-280	4880	30	ECHO	LORE	force_sensitive_heightened_senses_persuasion	1	2	0	300
dathomir_song_shards	dathomir	trade_outpost	commoner	600	-8400	110	ECHO	LORE	force_sensitive_heightened_senses_luck	1	2	0	300
nashal_droid_memory	talus	nashal	scientist	4350	5200	200	ECHO	LORE	force_sensitive_crafting_mastery_assembly	1	2	0	300
restuss_weathered_tablets	rori	restuss	scientist	5300	5600	290	ECHO	LORE	force_sensitive_heightened_senses_surveying	1	2	0	300
mos_eisley_unfired_blaster	tatooine	mos_eisley	commoner	3450	-4780	10	THREAD	RESTRAINT	force_sensitive_combat_prowess_ranged_speed	2	0	1	300
nyms_debt_without_blood	lok	nyms_stronghold	commoner	500	5030	100	THREAD	RESTRAINT	force_sensitive_combat_prowess_melee_accuracy	2	0	1	300
dathomir_night_test	dathomir	science_outpost	scientist	-80	-1580	190	THREAD	RESTRAINT	force_sensitive_enhanced_reflexes_melee_defense	2	0	1	300
bela_vistal_fevered_beast	corellia	bela_vistal	commoner	6800	-5750	280	THREAD	RESTRAINT	force_sensitive_enhanced_reflexes_ranged_defense	2	0	1	300
endor_stranded_scout	endor	smuggler_outpost	commoner	-930	1540	350	THREAD	FELLOWSHIP	force_sensitive_combat_prowess_melee_speed	0	1	2	300
dantooine_shared_lights	dantooine	mining_outpost	artisan	-600	-3580	70	THREAD	FELLOWSHIP	force_sensitive_crafting_mastery_experimentation	0	1	2	300
theed_unheard_musician	naboo	theed	entertainer	-4850	4160	150	THREAD	FELLOWSHIP	force_sensitive_heightened_senses_healing	0	1	2	300
mos_espa_three_hands	tatooine	mos_espa	artisan	-2900	2150	250	CONVERGENCE	FELLOWSHIP	force_sensitive_enhanced_reflexes_vehicle_control	0	1	2	300
