actionName	combatSpam
s	s
creatureMeleeAttack	creature
creatureRangedAttack	creature
healthShot2	sapblast
pistolMeleeDefense1	pistolwhip
pistolMeleeDefense2	pistolwhip
headShot1	headshot
bodyShot1	bodyshot
disarmingShot1	disarmshot
doubleTap	doubletap
stoppingShot	stoppingshot
cripplingShot	cripplingshot
pointBlankSingle1	pointblankshot
pointBlankSingle2	pointblankblast
pointBlankArea1	pointblankblast
burstShot1	burstshot
bodyShot2	bodyshot
bodyShot3	bodyshot
headShot2	expertheadshot
headShot3	masterheadshot
melee1hBodyHit1	saimai
melee1hBodyHit2	saisun
melee1hBodyHit3	saitok
melee2hHeadHit1	scalpblow
melee2hHeadHit2	scalpstrike
melee2hHeadHit3	scalpslam
legShot1	leg
polearmLegHit1	legbruiser
polearmLunge1	lungestrike
polearmLunge2	lungestrike
unarmedLunge1	lungeshiak
unarmedLunge2	lungeshiak
melee1hLunge1	lungestab
melee1hLunge2	lungestab
melee2hLunge1	lungeslam
melee2hLunge2	lungeslam
melee1hDizzyHit1	skullstab
melee2hSweep1	sweep
melee2hSweep2	sword2_knockdown
polearmStun1	breathtaker
polearmSpinAttack1	limbsmasher
melee1hSpinAttack1	slashspin
melee2hSpinAttack1	spinstrike
unarmedHeadHit1	nexugrin
melee1hHit1	chomai
melee1hHit2	chosun
melee2hHit1	terriblestrike
melee2hHit2	violentstrike
polearmLegHit2	legsmasher
polearmLegHit3	legbreaker
polearmHit1	bonebruiser
polearmArea1	whirlwind
melee2hSpinAttack2	spinslam
pointBlankArea2	areashot
multiTargetPistolShot	pistolmultishot
disarmingShot2	disarmblast
fanShot	fanshot
burstShot2	burstblast
unarmedHit1	steelhands
unarmedHit2	goraxsmash
unarmedHit3	spittingrawl
unarmedBodyHit1	rancorrising
unarmedLegHit1	grondastomp
unarmedSpinAttack1	leapingveermok
unarmedSpinAttack2	unarmed_knockdown
threatenShot	threatenshot
warningShot	warningshot
aim	aim
overChargeShot1	overchargeshot
overChargeShot2	overchargeshot
fireAcidSingle1	fireacidsingle1
fireLightningSingle1	firelightningsingle1
fireAcidCone1	fireacidcone1
fireAcidCone2	fireacidcone2
fireAcidSingle2	fireacidsingle2
flameSingle1	flamesingle1
flameSingle2	flamesingle2
flameCone1	flamecone1
flameCone2	flamecone2
healthShot1	sapshot
actionShot1	sapshot
actionShot2	sapblast
mindShot1	distractshot
mindShot2	mindbender
surpriseShot	surpriseshot
sniperShot	snipershot
fireLightningCone1	firelightningcone1
fireLightningCone2	firelightningcone2
fireLightningSingle2	firelightningsingle2
suppressionFire1	suppressionfire
rollShot	rollshot
diveShot	diveshot
kipUpShot	kipup
fullAutoSingle1	fullautoattack
scatterShot1	scattershot
scatterShot2	scatterblast
legShot2	legshot
legShot3	kneecapshot
fullAutoSingle2	s_auto
suppressionFire2	sup_fire
wildShot1	wildshot
wildShot2	widewildshot
fullAutoArea1	areashot
fullAutoArea2	a_auto
chargeShot1	chargeshot
chargeShot2	chargeblast
strafeShot1	strafeshot
concealShot	concealedshot
flurryShot1	flurryshot
flurryShot2	flurry
strafeShot2	advancedstrafe
startleShot1	startle
startleShot2	startleshot
flushingShot1	flushingshot
flushingShot2	flushingvolley
unarmedBlind1	aryxslash
unarmedStun1	screamingsquill
intimidate1	intim
intimidate2	intim
warcry1	warcry
warcry2	warcry
taunt	taunt
melee1hBlindHit1	blindingstab
melee1hBlindHit2	blindingslash
melee1hScatterHit1	scatterstab
melee1hDizzyHit2	skullslash
melee1hScatterHit2	scattershiak
melee1hHealthHit1	shiim
melee1hSpinAttack2	blindspin
melee1hHealthHit2	shiimshiak
melee1hHit3	chomok
polearmHit2	bonesmasher
polearmStun2	breathstealer
polearmSpinAttack2	limbbreaker
polearmArea2	tornado
polearmSweep1	backcracker
polearmSweep2	backbreaker
polearmActionHit1	kneecracker
polearmActionHit2	kneesmasher
polearmHit3	bonebreaker
melee2hArea1	descendingstrike
melee2hArea2	descendingslam
melee2hArea3	domination
melee2hMindHit1	mindstrike
melee2hMindHit2	mindslam
melee2hHit3	viciousstrike
unarmedKnockdown1	sleepingkrayt
unarmedKnockdown2	chargingwampa
underHandShot	underhandshot
knockdownFire	knockdownfire
confusionShot	confusionshot
bleedingShot	bleedingshot
eyeShot	eyeshot
torsoShot	torsoshot
sprayShot	sprayshot
fastBlast	fastblast
panicShot	panicshot
lowBlow	lowblow
lastDitch	lastditch
unarmedDizzy1	gundarkslap
unarmedCombo1	shenbitbonecrusher
unarmedCombo2	deathweave
