templateName	attackSpeed	speedSkill	damageSkill	toughnessSkill	pointBlankRange	pointBlankAccuracy	idealRange	idealAccuracy	maxRange	maxRangeAccuracy	accuracySkill	categoryAccuracySkill	defenseSkill	defenseSkill2	weaponFamily	postureMultiplier	secondaryDefenseSkill	secondaryDefenseResult	woundsRatio	armorPiercing
s	f	s	s	s	f	f	f	f	f	f	s	s	s	s	s	f	s	s	i	i
__family_default	4.0	unarmed_speed	unarmed_damage	unarmed_toughness	0.0	-5.0	15.0	7.0	45.0	-15.0	unarmed_accuracy	melee_accuracy	melee_defense		default	1.0	unarmed_passive_defense	RANDOM	5	0
__family_rifle	5.9	rifle_speed			0.0	-30.0	40.0	20.0	64.0	-50.0	rifle_accuracy	ranged_accuracy	ranged_defense		rifle	2.5	block	BLOCK	10	1
__family_carbine	3.6	carbine_speed			0.0	-25.0	35.0	5.0	64.0	-60.0	carbine_accuracy	ranged_accuracy	ranged_defense		carbine	2.0	counterattack	COUNTER	10	0
__family_pistol	3.6	pistol_speed			0.0	0.0	15.0	15.0	64.0	-70.0	pistol_accuracy	ranged_accuracy	ranged_defense		pistol	1.5	dodge	DODGE	10	0
__family_heavy	7.8	heavyweapon_speed			0.0	-20.0	16.0	-20.0	64.0	-80.0	heavyweapon_accuracy	ranged_accuracy	ranged_defense		heavy	3.0	unarmed_passive_defense	RANDOM	24	1
__family_onehandmelee	4.5	onehandmelee_speed		onehandmelee_toughness	0.0	3.0	3.0	3.0	4.0	4.0	onehandmelee_accuracy	melee_accuracy	melee_defense		onehandmelee	1.0	dodge	DODGE	14	0
__family_twohandmelee	4.8	twohandmelee_speed		twohandmelee_toughness	0.0	0.0	3.0	0.0	5.0	0.0	twohandmelee_accuracy	melee_accuracy	melee_defense		twohandmelee	1.0	counterattack	COUNTER	22	2
__family_unarmed	2.0	unarmed_speed	unarmed_damage	unarmed_toughness	0.0	-5.0	15.0	7.0	45.0	-15.0	unarmed_accuracy	melee_accuracy	melee_defense		unarmed	1.0	unarmed_passive_defense	RANDOM	5	0
__family_polearm	5.1	polearm_speed		polearm_toughness	0.0	3.0	3.0	4.5	5.5	5.5	polearm_accuracy	melee_accuracy	melee_defense		polearm	1.0	block	BLOCK	14	0
__family_thrown	5.0	thrown_speed			0.0	-10.0	20.0	15.0	64.0	-30.0	thrown_accuracy	ranged_accuracy	ranged_defense		thrown	1.0	unarmed_passive_defense	RANDOM	10	1
__family_onehandlightsaber	4.5	onehandlightsaber_speed		lightsaber_toughness	0.0	20.0	3.0	15.0	5.0	5.0	onehandlightsaber_accuracy	melee_accuracy	melee_defense		onehandlightsaber	1.0	saber_block	RICOCHET	15	2
__family_twohandlightsaber	4.8	twohandlightsaber_speed		lightsaber_toughness	0.0	20.0	3.0	15.0	5.0	5.0	twohandlightsaber_accuracy	melee_accuracy	melee_defense		twohandlightsaber	1.0	saber_block	RICOCHET	19	2
